,OPEN,HIGH,LOW,CLOSE,VOL,log_ret,sma20,sma50,sma200,price_vs_sma20,RSI14,STOCHK,BBpctb,BBwidth,MACDnorm,ATRnorm,vol_std5,vol_std20,har_d,har_w,har_m,rv_park5,ret_sq_lag1,sign_lag1,ret_abs_ma5,ret_abs_ma20,OBV_z,month_sin,month_cos,dow_sin,dow_cos,is_month_end,is_quarter_end,is_friday,is_march,is_july,is_oct,in_crisis,sentiment_score,news_count,has_news,sentiment_trend_3,sentiment_volatility
OPEN,1.0,0.9985344164683396,0.9984621704934619,0.9973156166203525,0.0035104518179333304,-0.020963970635858083,0.9856342038632595,0.9546107376410584,0.6987050537416851,0.12067222386031135,0.1003164649247799,0.013568737211649464,0.06005322785510887,-0.35274697569025826,-0.08086672607152619,-0.4375998854696242,-0.2979920833033771,-0.3965547441124978,-0.14160825846423758,-0.2402986240312379,-0.35806989387251015,-0.23102708394455984,-0.14160825846423758,0.051948372075443755,-0.278374874661092,-0.36129585546969734,0.05593221087047471,0.04205254307907789,-0.07892958955763256,0.009605743041235145,0.02891287352988225,-0.020858414331470766,-0.023265633185223213,-0.006487479629457536,0.05785854893351254,0.03293467805195191,-0.0876984476644024,-0.6687582809033364,0.057251578979649574,-0.058993107973583654,-0.05185792052700289,0.05074081875375207,-0.09654887502090892
HIGH,0.9985344164683396,1.0,0.9976417868369157,0.9987073115495404,0.023062868110890474,0.010729709466306032,0.9848512995218078,0.9541343483591838,0.7034843170406934,0.12918989426651356,0.10845872867044375,0.02566449668966329,0.07175026742485334,-0.33911394510378345,-0.07807598902980102,-0.42743948404180165,-0.27865175022978206,-0.38359464568285384,-0.12955078088180863,-0.2282850750346571,-0.34948724094888756,-0.21901263314912964,-0.12955078088180863,0.05381064936062187,-0.25826213335884496,-0.3472355055242186,0.06686240285083604,0.04850156814321683,-0.07477507902755133,0.010098967248237646,0.028155792450232794,-0.01941502044642147,-0.019561786465249545,-0.007498000405342441,0.05825230385755631,0.031643885289089034,-0.0922284869307962,-0.6671420696759746,0.057544675501341236,-0.05891310337643136,-0.052703403466784524,0.053006276125832225,-0.09749332020770506
LOW,0.9984621704934619,0.9976417868369157,1.0,0.9985533083647107,-0.013785663680249971,0.014739268112971753,0.983535610581124,0.9520490512286961,0.6907701818485408,0.1375905978887504,0.11633955976444296,0.03176951727002612,0.07889146994086116,-0.365074059253684,-0.07135249804573174,-0.4541149077753479,-0.3146993648896937,-0.41001789673993677,-0.14680809296859534,-0.24908310111440227,-0.366684591710933,-0.24379905992613107,-0.14680809296859534,0.05373618557546157,-0.29743517442035805,-0.37603037326176253,0.07246333468015295,0.038894767393959084,-0.08001428041739972,0.010160427677880926,0.029418609578672844,-0.020112561899825843,-0.02207030112040941,-0.007628728789728705,0.058758133615912825,0.035087061755532056,-0.08599617068160494,-0.6699960716134674,0.058260596390143395,-0.06034200553968859,-0.053547357628737975,0.04968863814674226,-0.09930324615528131
CLOSE,0.9973156166203525,0.9987073115495404,0.9985533083647107,1.0,0.0073260937240839635,0.040517962769707386,0.983400657022388,0.951935774404627,0.69440915358553,0.1435522395499375,0.12246110705354055,0.04227275958108576,0.08701411670573607,-0.3530041521399642,-0.07126515956497145,-0.44295847330940374,-0.29446655179847925,-0.39675065843840757,-0.13899812766395678,-0.23871493187115447,-0.3592482170677756,-0.22951536478346543,-0.13899812766395678,0.053376993419561376,-0.27619373782660966,-0.36188856218706317,0.07968994019966374,0.0442499153617419,-0.07783533483921776,0.00960466839721763,0.02964048800172581,-0.017515750504391147,-0.0180682325127057,-0.007340683808799426,0.05937668163131698,0.0334299001885879,-0.09024630006136268,-0.668429443295104,0.05719791514294486,-0.060306515089058696,-0.053341954294976734,0.050034720687599094,-0.09911024358522853
VOL,0.0035104518179333304,0.023062868110890474,-0.013785663680249971,0.0073260937240839635,1.0,0.008100100260998555,0.020235989098421083,0.05784813071448508,0.21441245376128162,-0.06378148313318856,-0.06284095361924893,-0.009905624508501696,-0.01679961342394149,0.33422010569939276,0.02911013743912726,0.1902321988495605,0.3786056755652365,0.24381905472838022,0.2203600147501087,0.2059073865602058,0.11412820158618277,0.18648958760623827,0.2203600147501087,0.03900908357512944,0.41903463540729263,0.2860042012914326,-0.012488862784467253,-0.023665216732821584,0.15129722667374923,0.02056468904302453,-0.029857687755519606,-0.009278653712136481,-0.012424521210879294,-0.026540455746302573,-0.07599858903565096,-0.022468020571458486,-0.06376807130064092,-0.13806754811321248,-0.09720527059812016,0.03661389169057263,0.036974099018507955,-0.046564753698656834,-0.004378009585617083
log_ret,-0.020963970635858083,0.010729709466306032,0.014739268112971753,0.040517962769707386,0.008100100260998555,1.0,-0.02305905740709005,-0.03614993565756555,-0.06868889269919841,0.38084028770881984,0.3196923502675038,0.3835015722291616,0.3887369172343189,0.0005073516399139863,0.1530019167094643,-0.12131266192215716,0.04602143547672892,-0.019813961229903348,0.020876770675406334,0.03299410020850583,-0.03348581777359171,-0.025504617757982323,0.020876770675406334,0.019950513485511214,-0.007414275693718856,-0.024681242563681833,0.34068603902951683,0.013204660077471484,-0.007763545451929785,0.025521080849433928,0.009076653155137735,0.06788884262505758,0.09456288655286454,-0.03879033744702088,0.0423562362310924,0.04234345719647317,-0.01532281531964035,-0.004064059536925315,0.04696348801869347,-0.010989355233386107,-0.021091274831354593,-0.0016889079063938212,-0.0026426367872312805
sma20,0.9856342038632595,0.9848512995218078,0.983535610581124,0.983400657022388,0.020235989098421083,-0.02305905740709005,1.0,0.9816259172136176,0.7419684513944671,-0.02078791749917223,-0.03669832454838757,-0.10826291142182061,-0.07326913967033655,-0.34833684648732954,-0.19911961794760627,-0.4057957008341447,-0.2847674381036331,-0.3832172611440946,-0.12843229042341323,-0.22309860872345558,-0.3433046843211308,-0.20548737899557545,-0.12843229042341323,0.00913068082385508,-0.259379590559991,-0.34602364909134586,-0.06153238219673366,0.016869892738289424,-0.08129650219835236,0.010409012094819219,0.025626196649606147,-0.018506484380883082,-0.017836549939292835,-0.006930512782782155,0.07071068221368787,0.03264268000386601,-0.0708365709413625,-0.6730893735568532,0.06084402814027672,-0.0652429233254127,-0.05931963028415005,0.053999076651461586,-0.12151056258234251
sma50,0.9546107376410584,0.9541343483591838,0.9520490512286961,0.951935774404627,0.05784813071448508,-0.03614993565756555,0.9816259172136176,1.0,0.8122147877653568,-0.10913186109099686,-0.16094824116201112,-0.1724273943588693,-0.144931097000252,-0.3228975332996727,-0.1762350530027572,-0.36152616704236956,-0.26413284942145526,-0.3530840653003422,-0.1133098008369986,-0.19819679429341427,-0.3100480639982483,-0.18416678994224148,-0.1133098008369986,0.007592359654972948,-0.23763409999497992,-0.31643538444212044,-0.11088747124767395,-0.023671501550676873,-0.07259487267969204,0.010316390783244738,0.024361738161446225,-0.016840415945344592,-0.012699618717456167,-0.007512450762305414,0.03303396805003448,0.032213553908435326,-0.042282376438982514,-0.6748603303788088,0.06627428633103226,-0.06883715284616,-0.060132196001455265,0.06090521066851854,-0.11925975771609426
sma200,0.6987050537416851,0.7034843170406934,0.6907701818485408,0.69440915358553,0.21441245376128162,-0.06868889269919841,0.7419684513944671,0.8122147877653568,1.0,-0.2630253907915817,-0.35675941601829525,-0.29427653269019227,-0.25935996108842924,0.007029197312997995,-0.03739426015702141,0.009203384860819456,0.007202926943436483,-0.020920668009170272,0.01597105378881752,0.021781031698700312,-0.0020120584513035776,0.004585929557399732,0.01597105378881752,-0.030187246750291236,0.045438703002700184,0.02437302115321155,-0.1998504120662341,-0.04643799915124686,0.12664032776180262,0.012018913465453796,0.026066157457207705,-0.028839259241497894,-0.006459226296590605,-0.01011798961457819,-0.07311807210005232,-0.030983455522700862,0.0038267870141043573,-0.41125394017820555,0.053575010050049256,-0.04984393119465322,-0.05674185768197295,0.0536932196940044,0.0005275328416152451
price_vs_sma20,0.12067222386031135,0.12918989426651356,0.1375905978887504,0.1435522395499375,-0.06378148313318856,0.38084028770881984,-0.02078791749917223,-0.10913186109099686,-0.2630253907915817,1.0,0.8771550758176433,0.793339124275543,0.8569398235581551,-0.11125993395653422,0.7194082386832996,-0.4073084654492797,-0.1746382962159299,-0.19072099562437692,-0.13413583143956728,-0.20746932278713429,-0.22233778328893444,-0.27770599168219495,-0.13413583143956728,0.24008307554051264,-0.23103861456897415,-0.20336831255085258,0.7545594743351797,0.040418757603073084,-0.06143626301440169,0.006911093188981924,0.01803438366087168,0.0026163139291477617,-0.014113701582100596,-0.014528733123380497,-0.029673187884384798,0.13115899634523281,-0.07567842096270411,-0.03044307794329843,-0.010475245521343466,0.025186516246801554,0.038041210762168605,-0.03908403967971653,0.07757823975337459
