,OPEN,HIGH,LOW,CLOSE,VOL,log_ret,sma20,sma50,sma200,price_vs_sma20,RSI14,STOCHK,BBpctb,BBwidth,MACDnorm,ATRnorm,vol_std5,vol_std20,har_d,har_w,har_m,rv_park5,ret_sq_lag1,sign_lag1,ret_abs_ma5,ret_abs_ma20,OBV_z,month_sin,month_cos,dow_sin,dow_cos,is_month_end,is_quarter_end,is_friday,is_march,is_july,is_oct,in_crisis,sentiment_score,news_count,has_news,sentiment_trend_3,sentiment_volatility
OPEN,1.0,0.9977343237262857,0.9977284616292238,0.9959090065670548,0.07390853064565314,-0.01673368506965171,0.9778686711166588,0.9319374278675184,0.6507092043794578,0.10840954815694567,0.13291528515454068,0.04399996063536562,0.08169630409379038,-0.2596715158189899,-0.07330021479645488,-0.3298345165820942,-0.2770225381989346,-0.3655199566697786,-0.11422351690583929,-0.26740999231838897,-0.362217213430993,-0.28248451842797,-0.11422351690583929,0.062379122597933864,-0.24715421311368135,-0.3106015795352644,0.0926574881270938,0.10458997274892294,-0.13002602749062234,0.005455999981011583,0.03188951973052573,-0.020392683869430505,-0.01777235833353688,-0.004187185707767906,0.07204480369461777,0.055345129148699185,-0.12374748495892797,-0.618739252866957,0.059025526499152166,-0.051118050693430554,-0.05081723008283589,0.04117477276164908,-0.04587964482915005
HIGH,0.9977343237262857,1.0,0.9965931554859948,0.9979600176868938,0.09649138056139708,0.019047559435696432,0.9770840632103914,0.9319111041702403,0.6537465483992158,0.11947842930414464,0.1434363102936661,0.05908390056098231,0.09592000414842006,-0.24631433721571983,-0.06841444049177818,-0.3195755042213523,-0.25625178276470995,-0.35143182748478724,-0.10194866214003333,-0.2520670724467419,-0.3504635702204272,-0.2603007578492085,-0.10194866214003333,0.06411443691635524,-0.22574440814634966,-0.29613420061593826,0.10521897405701401,0.11193079030032735,-0.12582757302698722,0.006885951816508341,0.0309590274793845,-0.01828395207042919,-0.013742109972266684,-0.0056866329590087045,0.07181728330263387,0.05317682251339823,-0.12998675226866568,-0.6205257741295398,0.06109508766268825,-0.052857190742509406,-0.052655058952061407,0.04476571398928042,-0.04333421757008168
LOW,0.9977284616292238,0.9965931554859948,1.0,0.9979448339068051,0.05344489517503238,0.023836935715566533,0.9747321303602476,0.9284422214930212,0.6450639571003215,0.12578662432832166,0.14932572027335506,0.06499950986916984,0.10148965010957672,-0.2734914758714736,-0.06237168573930821,-0.34935469278166603,-0.2941382475385244,-0.3802065344506957,-0.12644049837249888,-0.2808551462386923,-0.3750671714559526,-0.30444700751184106,-0.12644049837249888,0.0645013735880175,-0.26548347679897655,-0.3257829904829038,0.11074210351228994,0.10123066684131996,-0.12876435670570677,0.006549998898091829,0.03248126475983143,-0.01954298990185376,-0.01604016064525405,-0.006984902145412568,0.07265996348312444,0.05625049657759728,-0.12024876142634428,-0.6179914547019633,0.06255959538874901,-0.053437233916195176,-0.053185597056694435,0.04190222317556021,-0.048686103580594
CLOSE,0.9959090065670548,0.9979600176868938,0.9979448339068051,1.0,0.07562339784715812,0.05526141997158187,0.9747359651000886,0.928525057133149,0.6461319524021107,0.13407946117401282,0.15779133537723097,0.07806068720615053,0.11204119746465102,-0.26043172511146634,-0.06119135237305598,-0.33660153343347105,-0.273076683961861,-0.36456208688096664,-0.11282539053916059,-0.26586043743130566,-0.36182286608879183,-0.282468722010567,-0.11282539053916059,0.06324060624306309,-0.244119231457627,-0.30991542002725303,0.11965026686776485,0.10861380459732815,-0.1275121859598538,0.006768174389893692,0.03183930278477162,-0.01620002712363019,-0.011605730839221054,-0.0070331843063714755,0.07385656110016005,0.05390339295280897,-0.12726739200333376,-0.6187807867084506,0.06098942772586987,-0.053727167836342515,-0.05344646446705892,0.042576898556966135,-0.0479504181333071
VOL,0.07390853064565314,0.09649138056139708,0.05344489517503238,0.07562339784715812,1.0,0.019269508278483245,0.08890941601506759,0.11270147053229448,0.23190117942588392,0.015073899486120023,-0.0066863982698521516,0.03598086061542878,0.034639740825742636,0.43782555390485106,0.007205477826991027,0.25281009961669965,0.44311908085920404,0.32635056888690117,0.3329474947438384,0.3783641027016859,0.29400439111040105,0.40348078109647945,0.3329474947438384,0.04580420363111121,0.4940780778627159,0.3768082223734265,0.009642308444889905,-0.03613191609341969,0.1563436122067847,0.04361088062602503,-0.008355623131884328,0.0049121051691405244,-0.00046191953530226,-0.04068355578214283,-0.05382608041596031,-0.036108037758825144,-0.01051313314608608,-0.1917011615570492,-0.057066646963203786,0.05166401113362669,0.05030426809436111,-0.007501171502611441,0.01715856721152635
log_ret,-0.01673368506965171,0.019047559435696432,0.023836935715566533,0.05526141997158187,0.019269508278483245,1.0,-0.018830695784319666,-0.029431271671009947,-0.07815785623155384,0.3491556219556394,0.3356949957997936,0.45053371651602653,0.40060853615892383,-0.018945791646359834,0.15677573906679923,-0.09971160471086857,0.02993892647869919,-0.010716633503898258,-0.013852658541756723,-0.006679220797143088,-0.019026441656775188,-0.031088858998238867,-0.013852658541756723,-0.007555261020881014,0.005965015705802118,-0.01705445450235059,0.38988060914458395,0.03952317836279465,1.5201805722148784e-05,0.02590247789215977,0.044944373531491257,0.02663274514159768,0.03397969129268659,-0.03178104966546054,0.01690768913732982,0.03057988022681191,-0.0412679028827363,-0.016951347236214914,0.09227334143604543,-0.05177088206450943,-0.05191932769598716,0.00939031897071481,-0.020455051143446902
sma20,0.9778686711166588,0.9770840632103914,0.9747321303602476,0.9747359651000886,0.08890941601506759,-0.018830695784319666,1.0,0.9685843258974572,0.6959372783393671,-0.057802859052811184,-0.02262581086604833,-0.09885892958890158,-0.07839857810559515,-0.26816067444893926,-0.2171240312983913,-0.29442159349110075,-0.26811511875854716,-0.35830744470603787,-0.10492476763675358,-0.261780272140113,-0.3609009910367614,-0.2640861690520445,-0.10492476763675358,0.011074170881711016,-0.2359171277118154,-0.304139185531912,-0.04751700753617703,0.07217711319450834,-0.13747214481706815,0.0071995117582675456,0.028897105464702935,-0.015768094334480252,-0.01319424375421599,-0.005458653840079416,0.08714860258795475,0.06336871190483194,-0.11069756274936242,-0.6242859910167529,0.07242627571669824,-0.0571100306850821,-0.0569270580897919,0.05281607316611066,-0.08455626987114652
sma50,0.9319374278675184,0.9319111041702403,0.9284422214930212,0.928525057133149,0.11270147053229448,-0.029431271671009947,0.9685843258974572,1.0,0.7600333562866448,-0.14911421714612688,-0.15859571286102103,-0.16204932402287459,-0.15456545408628924,-0.26041784995547096,-0.18548784118138428,-0.24713615739248843,-0.26249512852971996,-0.34114792828757295,-0.10368033258667894,-0.2531857923211106,-0.3430441694734026,-0.2466507956247951,-0.10368033258667894,0.012701962516041262,-0.22932905735963588,-0.2950113572494336,-0.10111616895875031,0.012232035533783128,-0.14186021457563702,0.008564732159659043,0.02727645989037105,-0.014451219302705248,-0.006774507765193103,-0.006457388302343554,0.03133797727506534,0.06957797038002775,-0.07577175979394098,-0.62703359118085,0.07996693303940479,-0.054064226882058315,-0.05325309760458527,0.06283098686109377,-0.06070127387420651
sma200,0.6507092043794578,0.6537465483992158,0.6450639571003215,0.6461319524021107,0.23190117942588392,-0.07815785623155384,0.6959372783393671,0.7600333562866448,1.0,-0.27619626018632853,-0.3442318867224722,-0.2921125489293316,-0.2711216744038852,0.0042692272925071925,-0.07579659780979191,-0.042990657070832376,-0.03977984920664155,-0.12238289483712331,0.027858707382949863,-0.02515043387875533,-0.12557550139195733,-0.03655940323285783,0.027858707382949863,-0.026473137392583165,0.007906189731771629,-0.0539640324347283,-0.19420291004120996,-0.15928368317854885,0.20595449998206714,0.011101351103390984,0.03344109253281082,-0.03253341594621154,-0.008088015387257303,-0.012094794393777836,-0.09632614831772703,-0.0572784764226317,0.049052623421943296,-0.41198229569506034,0.06458506195215338,-0.0546512932545212,-0.05494468158905599,0.04987478637963064,0.10349793063502433
price_vs_sma20,0.10840954815694567,0.11947842930414464,0.12578662432832166,0.13407946117401282,0.015073899486120023,0.3491556219556394,-0.057802859052811184,-0.14911421714612688,-0.27619626018632853,1.0,0.9268695033052233,0.8848025247387908,0.9452150394439456,0.05102971694221783,0.6963073911904838,-0.26483596728837466,-0.03822926997737312,-0.040418232404721956,-0.058940990481851176,-0.038937737976103774,-0.02376916362826472,-0.10742819303858886,-0.058940990481851176,0.24907783605126235,-0.06659424841445363,-0.05939455208503086,0.8203843119866179,0.12699070422661743,-0.03446184047168458,0.01107851974595644,0.02547605634326888,0.007170820275477685,-0.0037444719728993514,-0.01744888809629328,-0.013375635064694915,0.060109748480922646,-0.1116338756094954,-0.023777778300938534,-0.06338007913778439,0.03320458887205536,0.033876015436912287,-0.07172868387251136,0.050211881485144765
RSI14,0.13291528515454068,0.1434363102936661,0.14932572027335506,0.15779133537723097,-0.0066863982698521516,0.3356949957997936,-0.02262581086604833,-0.15859571286102103,-0.3442318867224722,0.9268695033052233,1.0,0.8644131177025856,0.9195906807992447,0.004544574514058987,0.5223070997549047,-0.34741341983760626,-0.09691398153561843,-0.10294237076567656,-0.08343289382354784,-0.09230298143645851,-0.08019176468730037,-0.17213412255326788,-0.08343289382354784,0.22441929402167327,-0.11599679624624411,-0.11420674692471634,0.7837983076939861,0.21000863480952417,-0.05204705061617101,0.00906980443628141,0.02141253928189604,0.005862438975581536,-0.005007725768316199,-0.012255683803826469,0.07251865829134017,0.07104568793648394,-0.17757609055312268,-0.040580487269031254,-0.07471721290085129,0.027604763752747317,0.027298997233682662,-0.08227965183541913,0.004628822011921747
STOCHK,0.04399996063536562,0.05908390056098231,0.06499950986916984,0.07806068720615053,0.03598086061542878,0.45053371651602653,-0.09885892958890158,-0.16204932402287459,-0.2921125489293316,0.8848025247387908,0.8644131177025856,1.0,0.9313067252769938,0.046313925452469665,0.6747657762058483,-0.23464669369628327,-0.010163221083141619,0.0011460365685830086,-0.041377913206299737,-0.015799516213429683,0.010647746599076361,-0.07457939074441435,-0.041377913206299737,0.28355619085053724,-0.029528745262035104,-0.01745721825231451,0.8066479939702726,0.17124210271172471,-0.060892854919345006,0.015371445125376831,0.02389770078904669,0.008305653664760769,0.020464828248924545,-0.021562344177419073,0.04927604846123086,0.0566796342632227,-0.10311952721894863,0.02740457408256555,-0.10475651005842464,0.008022941864614328,0.008587872582615752,-0.11161108709633018,0.06917147891813819
BBpctb,0.08169630409379038,0.09592000414842006,0.10148965010957672,0.11204119746465102,0.034639740825742636,0.40060853615892383,-0.07839857810559515,-0.15456545408628924,-0.2711216744038852,0.9452150394439456,0.9195906807992447,0.9313067252769938,1.0,0.054906595553894266,0.7102161289630257,-0.25246234710078835,-0.006043234280769292,-0.01528931572418152,-0.03846551842892445,-0.006034489565347023,3.90113529672659e-05,-0.08455922868932401,-0.03846551842892445,0.2802400596225257,-0.02790450557769989,-0.0318063619382003,0.859507761064252,0.19659061223013952,-0.02256695881464475,0.012007824313938376,0.02522634882337071,0.01022934218509003,0.009059968464396854,-0.016740977580817672,0.01128003266577753,0.058139575354135054,-0.1247943014375709,-0.024634909002825875,-0.05737776992517658,0.015810000381704062,0.01585063696580575,-0.06391390139598563,0.03668155659004348
BBwidth,-0.2596715158189899,-0.24631433721571983,-0.2734914758714736,-0.26043172511146634,0.43782555390485106,-0.018945791646359834,-0.26816067444893926,-0.26041784995547096,0.0042692272925071925,0.05102971694221783,0.004544574514058987,0.046313925452469665,0.054906595553894266,1.0,0.18611197558469086,0.6810669847195332,0.6306276851614422,0.745200548279496,0.34162646671692126,0.6876118169822523,0.7463371587381554,0.7036196119132715,0.34162646671692126,0.003546331186760086,0.6637443028532651,0.7785322709134815,0.08799135619261686,0.12906987750694837,0.08323849956360387,-0.006061570983655615,0.00043284903162891917,-0.008931398026951561,-0.013761229826701391,-0.0015623806322351997,-0.07747692173051877,-0.043258149153973115,-0.04912618779199089,0.299080865472781,0.006134616411845192,0.05642605652071906,0.057341293614956934,0.030272788554534795,0.1745429172680798
MACDnorm,-0.07330021479645488,-0.06841444049177818,-0.06237168573930821,-0.06119135237305598,0.007205477826991027,0.15677573906679923,-0.2171240312983913,-0.18548784118138428,-0.07579659780979191,0.6963073911904838,0.5223070997549047,0.6747657762058483,0.7102161289630257,0.18611197558469086,1.0,-0.026553538047557976,0.08930183126524725,0.12045701812631832,0.008643703180936482,0.1079719493120915,0.13651822136016042,0.06298751620902711,0.008643703180936482,0.20160061718077088,0.07346448754235999,0.10362061360835839,0.6770298787369977,0.09859218937882451,-0.04585862258793068,0.004254926176143634,0.008055255159968258,0.0015685786264555228,-0.007652550984582601,-0.010637967357366449,-0.15164239446675978,0.049650531889934034,-0.017486705465003523,0.09866822018198455,-0.062409860584370494,0.030667199510333136,0.03324530147686061,-0.0596865619262531,0.137800206667211
