horizon,model,metric,no_news,with_news,delta_with_minus_no,direction,improved_by_news
1,LGBclf,AUC,0.54484,0.5656100000000001,0.020770000000000066,higher_is_better,True
1,LGBclf,Accuracy,0.59287,0.5785600000000001,-0.014309999999999934,higher_is_better,False
1,LGBclf,F1,0.50857,0.5132,0.004630000000000023,higher_is_better,True
1,RFclf,AUC,0.50808,0.51921,0.011129999999999973,higher_is_better,True
1,RFclf,Accuracy,0.55,0.56428,0.01427999999999996,higher_is_better,True
1,RFclf,F1,0.39400999999999997,0.37170000000000003,-0.02230999999999994,higher_is_better,False
5,LGBclf,AUC,0.543525,0.5840875,0.040562499999999946,higher_is_better,True
5,LGBclf,Accuracy,0.48571,0.52143,0.035719999999999974,higher_is_better,True
5,LGBclf,F1,0.46298000000000006,0.46987000000000007,0.006890000000000007,higher_is_better,True
5,RFclf,AUC,0.5668375,0.593675,0.02683749999999996,higher_is_better,True
5,RFclf,Accuracy,0.52144,0.48573000000000005,-0.035709999999999964,higher_is_better,False
5,RFclf,F1,0.53299,0.52394,-0.009050000000000002,higher_is_better,False
10,LGBclf,AUC,0.5402,0.5876625,0.04746249999999996,higher_is_better,True
10,LGBclf,Accuracy,0.53571,0.53571,0.0,higher_is_better,False
10,LGBclf,F1,0.5237999999999999,0.5348200000000001,0.01102000000000014,higher_is_better,True
10,RFclf,AUC,0.3658125,0.419925,0.05411250000000001,higher_is_better,True
10,RFclf,Accuracy,0.52143,0.51429,-0.007139999999999924,higher_is_better,False
10,RFclf,F1,0.58232,0.579,-0.0033199999999999896,higher_is_better,False
