family,task,horizon,model,metric,no_news,with_news,delta_with_minus_no,direction,improved_by_news
ARIMA-GARCH,classification,1,ARIMA-GARCH_h1,AUC,0.4306,0.4306,0.0,higher_is_better,False
ARIMA-GARCH,classification,1,ARIMA-GARCH_h1,Accuracy,0.4961,0.4961,0.0,higher_is_better,False
ARIMA-GARCH,classification,1,ARIMA-GARCH_h1,F1,0.6484,0.6484,0.0,higher_is_better,False
ARIMA-GARCH,classification,5,ARIMA-GARCH_h5,AUC,0.3802,0.3802,0.0,higher_is_better,False
ARIMA-GARCH,classification,5,ARIMA-GARCH_h5,Accuracy,0.576,0.576,0.0,higher_is_better,False
ARIMA-GARCH,classification,5,ARIMA-GARCH_h5,F1,0.7296,0.7296,0.0,higher_is_better,False
ARIMA-GARCH,classification,10,ARIMA-GARCH_h10,AUC,0.2836,0.2836,0.0,higher_is_better,False
ARIMA-GARCH,classification,10,ARIMA-GARCH_h10,Accuracy,0.5551,0.5551,0.0,higher_is_better,False
ARIMA-GARCH,classification,10,ARIMA-GARCH_h10,F1,0.7139,0.7139,0.0,higher_is_better,False
ARIMA-GARCH,regression,1,ARIMA-GARCH_h1,IC,-0.1616,-0.1616,0.0,higher_is_better,False
ARIMA-GARCH,regression,1,ARIMA-GARCH_h1,MAE,0.014833,0.014833,0.0,lower_is_better,False
ARIMA-GARCH,regression,1,ARIMA-GARCH_h1,MAPE,12580.6833,12580.6833,0.0,lower_is_better,False
ARIMA-GARCH,regression,1,ARIMA-GARCH_h1,MDA_%,49.61,49.61,0.0,higher_is_better,False
ARIMA-GARCH,regression,1,ARIMA-GARCH_h1,R2,-0.0099,-0.0099,0.0,higher_is_better,False
ARIMA-GARCH,regression,1,ARIMA-GARCH_h1,RMSE,0.020495,0.020495,0.0,lower_is_better,False
ARIMA-GARCH,regression,5,ARIMA-GARCH_h5,IC,-0.2666,-0.2666,0.0,higher_is_better,False
ARIMA-GARCH,regression,5,ARIMA-GARCH_h5,MAE,0.03123,0.03123,0.0,lower_is_better,False
ARIMA-GARCH,regression,5,ARIMA-GARCH_h5,MAPE,100.5092,100.5092,0.0,lower_is_better,False
ARIMA-GARCH,regression,5,ARIMA-GARCH_h5,MDA_%,57.6,57.6,0.0,higher_is_better,False
ARIMA-GARCH,regression,5,ARIMA-GARCH_h5,R2,-0.0379,-0.0379,0.0,higher_is_better,False
ARIMA-GARCH,regression,5,ARIMA-GARCH_h5,RMSE,0.040108,0.040108,0.0,lower_is_better,False
ARIMA-GARCH,regression,10,ARIMA-GARCH_h10,IC,-0.4356,-0.4356,0.0,higher_is_better,False
ARIMA-GARCH,regression,10,ARIMA-GARCH_h10,MAE,0.04874,0.04874,0.0,lower_is_better,False
ARIMA-GARCH,regression,10,ARIMA-GARCH_h10,MAPE,107.5621,107.5621,0.0,lower_is_better,False
ARIMA-GARCH,regression,10,ARIMA-GARCH_h10,MDA_%,55.51,55.51,0.0,higher_is_better,False
ARIMA-GARCH,regression,10,ARIMA-GARCH_h10,R2,-0.0682,-0.0682,0.0,higher_is_better,False
ARIMA-GARCH,regression,10,ARIMA-GARCH_h10,RMSE,0.059258,0.059258,0.0,lower_is_better,False
ML,classification,1,LGBclf,AUC,0.54484,0.5656100000000001,0.020770000000000066,higher_is_better,True
ML,classification,1,LGBclf,Accuracy,0.59287,0.5785600000000001,-0.014309999999999934,higher_is_better,False
ML,classification,1,LGBclf,F1,0.50857,0.5132,0.004630000000000023,higher_is_better,True
ML,classification,1,RFclf,AUC,0.50808,0.51921,0.011129999999999973,higher_is_better,True
ML,classification,1,RFclf,Accuracy,0.55,0.56428,0.01427999999999996,higher_is_better,True
ML,classification,1,RFclf,F1,0.39400999999999997,0.37170000000000003,-0.02230999999999994,higher_is_better,False
ML,classification,5,LGBclf,AUC,0.543525,0.5840875,0.040562499999999946,higher_is_better,True
ML,classification,5,LGBclf,Accuracy,0.48571,0.52143,0.035719999999999974,higher_is_better,True
ML,classification,5,LGBclf,F1,0.46298000000000006,0.46987000000000007,0.006890000000000007,higher_is_better,True
ML,classification,5,RFclf,AUC,0.5668375,0.593675,0.02683749999999996,higher_is_better,True
ML,classification,5,RFclf,Accuracy,0.52144,0.48573000000000005,-0.035709999999999964,higher_is_better,False
ML,classification,5,RFclf,F1,0.53299,0.52394,-0.009050000000000002,higher_is_better,False
ML,classification,10,LGBclf,AUC,0.5402,0.5876625,0.04746249999999996,higher_is_better,True
ML,classification,10,LGBclf,Accuracy,0.53571,0.53571,0.0,higher_is_better,False
ML,classification,10,LGBclf,F1,0.5237999999999999,0.5348200000000001,0.01102000000000014,higher_is_better,True
ML,classification,10,RFclf,AUC,0.3658125,0.419925,0.05411250000000001,higher_is_better,True
ML,classification,10,RFclf,Accuracy,0.52143,0.51429,-0.007139999999999924,higher_is_better,False
ML,classification,10,RFclf,F1,0.58232,0.579,-0.0033199999999999896,higher_is_better,False
ML,regression,1,LGBreg,IC,0.16834,0.09627,-0.07207,higher_is_better,False
ML,regression,1,LGBreg,MAE,0.0167117,0.0170248,0.0003131000000000002,lower_is_better,False
ML,regression,1,LGBreg,MAPE,596947.22857,540311.54082,-56635.68775000004,lower_is_better,True
ML,regression,1,LGBreg,MDA_%,49.286,51.427,2.1409999999999982,higher_is_better,True
ML,regression,1,LGBreg,R2,-0.26507000000000003,-0.32353,-0.058459999999999956,higher_is_better,False
ML,regression,1,LGBreg,RMSE,0.0203238,0.0208577,0.0005339000000000003,lower_is_better,False
ML,regression,1,RFreg,IC,-0.1345,-0.12482,0.009680000000000008,higher_is_better,True
ML,regression,1,RFreg,MAE,0.015156300000000001,0.015154699999999998,-1.600000000002641e-06,lower_is_better,True
ML,regression,1,RFreg,MAPE,19389.56179,25876.078080000003,6486.516290000003,lower_is_better,False
ML,regression,1,RFreg,MDA_%,50.0,48.572,-1.4279999999999973,higher_is_better,False
ML,regression,1,RFreg,R2,-0.07063,-0.07344,-0.002810000000000007,higher_is_better,False
ML,regression,1,RFreg,RMSE,0.019126499999999998,0.0191298,3.3000000000012186e-06,lower_is_better,False
ML,regression,1,Ridge,IC,0.07209000000000002,0.07164999999999999,-0.0004400000000000237,higher_is_better,False
ML,regression,1,Ridge,MAE,0.0160714,0.0162654,0.00019399999999999973,lower_is_better,False
ML,regression,1,Ridge,MAPE,13524.214170000001,184310.15397,170785.93980000002,lower_is_better,False
ML,regression,1,Ridge,MDA_%,56.428,55.714999999999996,-0.713000000000001,higher_is_better,False
ML,regression,1,Ridge,R2,-0.18839999999999998,-0.20701,-0.018610000000000015,higher_is_better,False
ML,regression,1,Ridge,RMSE,0.020566499999999998,0.0206259,5.940000000000112e-05,lower_is_better,False
ML,regression,5,LGBreg,IC,0.03648,0.15912,0.12264000000000001,higher_is_better,True
ML,regression,5,LGBreg,MAE,0.0301535,0.030082199999999996,-7.13000000000033e-05,lower_is_better,True
ML,regression,5,LGBreg,MAPE,355.12998000000005,350.4216,-4.708380000000034,lower_is_better,True
ML,regression,5,LGBreg,MDA_%,61.428999999999995,58.572,-2.856999999999992,higher_is_better,False
ML,regression,5,LGBreg,R2,-1.61753,-1.6007000000000002,0.01682999999999968,higher_is_better,True
ML,regression,5,LGBreg,RMSE,0.0374173,0.03654,-0.0008772999999999975,lower_is_better,True
ML,regression,5,RFreg,IC,0.18638,0.22504999999999997,0.03866999999999998,higher_is_better,True
ML,regression,5,RFreg,MAE,0.025418299999999998,0.025425399999999997,7.099999999999468e-06,lower_is_better,False
ML,regression,5,RFreg,MAPE,211.81601,215.98799,4.171979999999991,lower_is_better,False
ML,regression,5,RFreg,MDA_%,55.001,55.001,0.0,higher_is_better,False
ML,regression,5,RFreg,R2,-1.00429,-0.96983,0.034459999999999935,higher_is_better,True
ML,regression,5,RFreg,RMSE,0.0319732,0.0319904,1.7200000000001936e-05,lower_is_better,False
ML,regression,5,Ridge,IC,-0.07735999999999998,-0.027260000000000013,0.05009999999999997,higher_is_better,True
ML,regression,5,Ridge,MAE,0.033477400000000004,0.0329122,-0.0005652000000000018,lower_is_better,True
ML,regression,5,Ridge,MAPE,308.07899,321.21583999999996,13.136849999999981,lower_is_better,False
ML,regression,5,Ridge,MDA_%,45.0,47.141999999999996,2.141999999999996,higher_is_better,True
ML,regression,5,Ridge,R2,-2.4376,-2.2618199999999997,0.1757800000000005,higher_is_better,True
ML,regression,5,Ridge,RMSE,0.039928599999999995,0.0397406,-0.00018799999999999373,lower_is_better,True
ML,regression,10,LGBreg,IC,-0.24483000000000002,-0.17318,0.07165000000000002,higher_is_better,True
ML,regression,10,LGBreg,MAE,0.0545408,0.0561354,0.0015946000000000016,lower_is_better,False
ML,regression,10,LGBreg,MAPE,428.85402000000005,439.92924999999997,11.07522999999992,lower_is_better,False
ML,regression,10,LGBreg,MDA_%,51.428999999999995,50.001,-1.4279999999999973,higher_is_better,False
ML,regression,10,LGBreg,R2,-4.8458,-5.154400000000001,-0.3086000000000011,higher_is_better,False
