horizon,metric,n_models,n_improved_by_news,mean_delta,median_delta,share_improved_by_news
1,IC,3,1,-0.020943333333333338,-0.0004400000000000237,0.3333333333333333
1,MAE,3,1,0.00016849999999999908,0.00019399999999999973,0.3333333333333333
1,MAPE,3,1,40212.25611333333,6486.516290000003,0.3333333333333333
1,MDA_%,3,1,0.0,-0.713000000000001,0.3333333333333333
1,R2,3,0,-0.02662666666666666,-0.018610000000000015,0.0
1,RMSE,3,0,0.00019886666666666755,5.940000000000112e-05,0.0
5,IC,3,3,0.07046999999999999,0.05009999999999997,1.0
5,MAE,3,2,-0.00020980000000000187,-7.13000000000033e-05,0.6666666666666666
5,MAPE,3,1,4.200149999999979,4.171979999999991,0.3333333333333333
5,MDA_%,3,1,-0.2383333333333321,0.0,0.3333333333333333
5,R2,3,3,0.07569000000000004,0.034459999999999935,1.0
5,RMSE,3,2,-0.0003493666666666631,-0.00018799999999999373,0.6666666666666666
10,IC,3,1,0.004250000000000013,-0.002630000000000004,0.3333333333333333
10,MAE,3,2,0.00012833333333332983,-0.0002534000000000078,0.6666666666666666
10,MAPE,3,1,3.45302,3.877200000000073,0.3333333333333333
10,MDA_%,3,1,-1.1906666666666677,-1.4279999999999973,0.3333333333333333
10,R2,3,2,-0.013013333333333618,0.044620000000000104,0.6666666666666666
10,RMSE,3,2,0.00018766666666666007,-0.0002067000000000041,0.6666666666666666
