,OPEN,HIGH,LOW,CLOSE,VOL,log_ret,log_ret_lag1,log_ret_lag2,log_ret_lag3,log_ret_lag4,log_ret_lag5,log_ret_lag6,log_ret_lag7,log_ret_lag8,log_ret_lag9,log_ret_lag10,sma20,sma50,sma200,price_vs_sma20,RSI14,STOCHK,BBpctb,BBwidth,MACDnorm,ATRnorm,vol_std5,vol_std20,har_d,har_w,har_m,rv_park5,ret_sq_lag1,sign_lag1,ret_abs_ma5,ret_abs_ma20,OBV_z,month_sin,month_cos,dow_sin,dow_cos,is_month_end,is_quarter_end,is_friday,is_march,is_july,is_oct,in_crisis,sentiment_score,news_count,has_news,sentiment_trend_3,sentiment_volatility
OPEN,1.0,0.9977343237262857,0.9977284616292238,0.9959090065670548,0.07390853064565314,-0.01673368506965171,0.05693648940805757,0.057592012773663645,0.055484824090887105,0.056904304159274256,0.0557946295339995,0.055304408278378445,0.05537319777328164,0.05404246513831084,0.051477331829344976,0.05211353054292611,0.9778686711166588,0.9319374278675184,0.6507092043794578,0.10840954815694567,0.13291528515454068,0.04399996063536562,0.08169630409379038,-0.2596715158189899,-0.07330021479645488,-0.3298345165820942,-0.2770225381989346,-0.3655199566697786,-0.11422351690583929,-0.26740999231838897,-0.362217213430993,-0.28248451842797,-0.11422351690583929,0.062379122597933864,-0.24715421311368135,-0.3106015795352644,0.1301837630857508,0.10458997274892294,-0.13002602749062234,0.005455999981011583,0.03188951973052573,-0.020392683869430505,-0.01777235833353688,-0.004187185707767906,0.07204480369461777,0.055345129148699185,-0.12374748495892797,-0.618739252866957,0.059025526499152166,-0.051118050693430554,-0.05081723008283589,0.04117477276164908,-0.04587964482915005
HIGH,0.9977343237262857,1.0,0.9965931554859948,0.9979600176868938,0.09649138056139708,0.019047559435696432,0.058277968251865445,0.05516081181165764,0.056302795685438015,0.056198408614229936,0.05601588021075712,0.05156657350333252,0.053294565620183254,0.05017306788953122,0.051196583807396855,0.051859130624613115,0.9770840632103914,0.9319111041702403,0.6537465483992158,0.11947842930414464,0.1434363102936661,0.05908390056098231,0.09592000414842006,-0.24631433721571983,-0.06841444049177818,-0.3195755042213523,-0.25625178276470995,-0.35143182748478724,-0.10194866214003333,-0.2520670724467419,-0.3504635702204272,-0.2603007578492085,-0.10194866214003333,0.06411443691635524,-0.22574440814634966,-0.29613420061593826,0.1368327907113908,0.11193079030032735,-0.12582757302698722,0.006885951816508341,0.0309590274793845,-0.01828395207042919,-0.013742109972266684,-0.0056866329590087045,0.07181728330263387,0.05317682251339823,-0.12998675226866568,-0.6205257741295398,0.06109508766268825,-0.052857190742509406,-0.052655058952061407,0.04476571398928042,-0.04333421757008168
LOW,0.9977284616292238,0.9965931554859948,1.0,0.9979448339068051,0.05344489517503238,0.023836935715566533,0.06090981143916079,0.06035937391209843,0.05608102211164032,0.05808276410003456,0.05795300271730509,0.058048288769078006,0.056383471753918606,0.05414123219948319,0.05156859488527677,0.05320885496243086,0.9747321303602476,0.9284422214930212,0.6450639571003215,0.12578662432832166,0.14932572027335506,0.06499950986916984,0.10148965010957672,-0.2734914758714736,-0.06237168573930821,-0.34935469278166603,-0.2941382475385244,-0.3802065344506957,-0.12644049837249888,-0.2808551462386923,-0.3750671714559526,-0.30444700751184106,-0.12644049837249888,0.0645013735880175,-0.26548347679897655,-0.3257829904829038,0.14151502027106475,0.10123066684131996,-0.12876435670570677,0.006549998898091829,0.03248126475983143,-0.01954298990185376,-0.01604016064525405,-0.006984902145412568,0.07265996348312444,0.05625049657759728,-0.12024876142634428,-0.6179914547019633,0.06255959538874901,-0.053437233916195176,-0.053185597056694435,0.04190222317556021,-0.048686103580594
CLOSE,0.9959090065670548,0.9979600176868938,0.9979448339068051,1.0,0.07562339784715812,0.05526141997158187,0.056968210558369974,0.05564283400022374,0.05772000815635171,0.05766873890199115,0.05617279152316647,0.05495288976306074,0.05497992963726326,0.050328012553307246,0.053401619414439896,0.05430290112631098,0.9747359651000886,0.928525057133149,0.6461319524021107,0.13407946117401282,0.15779133537723097,0.07806068720615053,0.11204119746465102,-0.26043172511146634,-0.06119135237305598,-0.33660153343347105,-0.273076683961861,-0.36456208688096664,-0.11282539053916059,-0.26586043743130566,-0.36182286608879183,-0.282468722010567,-0.11282539053916059,0.06324060624306309,-0.244119231457627,-0.30991542002725303,0.14733056876437964,0.10861380459732815,-0.1275121859598538,0.006768174389893692,0.03183930278477162,-0.01620002712363019,-0.011605730839221054,-0.0070331843063714755,0.07385656110016005,0.05390339295280897,-0.12726739200333376,-0.6187807867084506,0.06098942772586987,-0.053727167836342515,-0.05344646446705892,0.042576898556966135,-0.0479504181333071
VOL,0.07390853064565314,0.09649138056139708,0.05344489517503238,0.07562339784715812,1.0,0.019269508278483245,0.03229396128220099,-0.015817651298627704,0.015399196709726153,-0.003532467854747856,-0.020459877968573792,-0.041218072584259996,-0.058180511752906894,-0.04296605051412396,-0.005442083370074064,0.003874277095021887,0.08890941601506759,0.11270147053229448,0.23190117942588392,0.015073899486120023,-0.0066863982698521516,0.03598086061542878,0.034639740825742636,0.43782555390485106,0.007205477826991027,0.25281009961669965,0.44311908085920404,0.32635056888690117,0.3329474947438384,0.3783641027016859,0.29400439111040105,0.40348078109647945,0.3329474947438384,0.04580420363111121,0.4940780778627159,0.3768082223734265,-0.042345468101133286,-0.03613191609341969,0.1563436122067847,0.04361088062602503,-0.008355623131884328,0.0049121051691405244,-0.00046191953530226,-0.04068355578214283,-0.05382608041596031,-0.036108037758825144,-0.01051313314608608,-0.1917011615570492,-0.057066646963203786,0.05166401113362669,0.05030426809436111,-0.007501171502611441,0.01715856721152635
log_ret,-0.01673368506965171,0.019047559435696432,0.023836935715566533,0.05526141997158187,0.019269508278483245,1.0,-0.023764336466564572,-0.0013212600675839314,-0.0014146908678295848,0.034073449128212786,0.018053921682347013,0.009026872787460045,0.009962098098657978,-0.04754713157330268,0.04975020455190758,0.04316243721707513,-0.018830695784319666,-0.029431271671009947,-0.07815785623155384,0.3491556219556394,0.3356949957997936,0.45053371651602653,0.40060853615892383,-0.018945791646359834,0.15677573906679923,-0.09971160471086857,0.02993892647869919,-0.010716633503898258,-0.013852658541756723,-0.006679220797143088,-0.019026441656775188,-0.031088858998238867,-0.013852658541756723,-0.007555261020881014,0.005965015705802118,-0.01705445450235059,0.26327055212199646,0.03952317836279465,1.5201805722148784e-05,0.02590247789215977,0.044944373531491257,0.02663274514159768,0.03397969129268659,-0.03178104966546054,0.01690768913732982,0.03057988022681191,-0.0412679028827363,-0.016951347236214914,0.09227334143604543,-0.05177088206450943,-0.05191932769598716,0.00939031897071481,-0.020455051143446902
log_ret_lag1,0.05693648940805757,0.058277968251865445,0.06090981143916079,0.056968210558369974,0.03229396128220099,-0.023764336466564572,1.0,-0.023502745987703678,-0.0014368728974342648,-0.0005513727488913846,0.034552468312352196,0.018236958016892135,0.009030104223352181,0.01051437384353974,-0.04774379111922191,0.050628628611040144,-0.013531999596404417,-0.026488190311284753,-0.07516478641703365,0.3383009878247279,0.3146458595771447,0.3487760112670473,0.36379646299197893,-0.014333936175690683,0.2437537400824902,-0.09819185036213655,0.011352359898714479,-0.019903337189573125,0.0034294405912058588,0.011799453078587967,-0.011040036816353335,-0.03575086602826455,0.0034294405912058588,0.8687210223952455,-0.006382371859282628,-0.02809739727238815,0.24923620291173265,0.04206555217838107,-0.005840810484986691,0.040646108387063236,0.008491088421903022,-0.009947125907579037,0.0034726013479756666,-0.031326838833627614,0.01183449450860696,0.02909179056369624,-0.036558045064943735,-0.012435639690747445,-0.04349324025173159,-0.0076971523371787325,-0.005889140233774753,0.03672806371061492,-0.04534971407737047
log_ret_lag2,0.057592012773663645,0.05516081181165764,0.06035937391209843,0.05564283400022374,-0.015817651298627704,-0.0013212600675839314,-0.023502745987703678,1.0,-0.023443011192050937,-0.0017795911650043041,-0.0007776403261905682,0.03450935964411337,0.018254961885223246,0.008843484596912251,0.01048943135075972,-0.04809503455142113,-0.010499636538942455,-0.02494680483517121,-0.07612378829371949,0.31753330712576067,0.29518781154972273,0.3066771709808087,0.333132281922394,-0.008937818938092252,0.29159130171716546,-0.10415610487960332,0.0024846423283192815,-0.021286361195755187,-0.05332316631843604,-0.0012250192158460044,-0.013295267617241367,-0.0434076843316496,-0.05332316631843604,-0.06424452645944587,-0.02219000545907489,-0.02959532659690358,0.24399379417381598,0.04608426197953944,-0.005170965606494542,-0.010525670492240824,-0.027738990737842823,-0.04823268634097994,-0.04569563211259148,0.016503367923376665,-0.011409037061083439,0.021483681135006413,-0.030306357084314058,-0.01820916276346437,-0.05029222407994441,0.006007316395000971,0.008430767584981442,0.01628860218532301,-0.012666947523003068
log_ret_lag3,0.055484824090887105,0.056302795685438015,0.05608102211164032,0.05772000815635171,0.015399196709726153,-0.0014146908678295848,-0.0014368728974342648,-0.023443011192050937,1.0,-0.023333595360639288,-0.0017247816818009077,-0.000728783900012461,0.034533445798261994,0.01834388693102411,0.00887057357385314,0.010515756598353828,-0.006016012502231641,-0.02244361497720817,-0.07443493913989993,0.29024154414689235,0.2749429177966086,0.2745095965780227,0.29559398343140747,-0.005206161535569368,0.3034138157828088,-0.0963561933979128,-0.007184478400691999,-0.023447809716341854,-0.07045606276355804,-0.011570568615758422,-0.01914789634963894,-0.04776385833571445,-0.07045606276355804,-0.0020792651607650942,-0.024697106005367335,-0.030253438160936674,0.23427206540791143,0.04748275003869889,-0.008097118278569886,-0.03274173405475246,-0.01405801607480171,0.02376813188614024,0.029192627978769658,-0.005011485075123734,-0.004462451871239971,0.025760638012821042,-0.03591454556948103,-0.020036403649088607,-0.055890212314078494,0.0280257104153497,0.027754492699448425,-0.06244676698172405,-0.010253165630289137
log_ret_lag4,0.056904304159274256,0.056198408614229936,0.05808276410003456,0.05766873890199115,-0.003532467854747856,0.034073449128212786,-0.0005513727488913846,-0.0017795911650043041,-0.023333595360639288,1.0,-0.023897187799211,-0.0019366926274942543,-0.0008103819037094374,0.033950304663107556,0.01852671164694171,0.008006102360396563,-0.003195509540844063,-0.021807173841754752,-0.0764806067155989,0.282789621218447,0.26841146629165247,0.2666585973768211,0.28229094718561687,0.003580809511452968,0.296247141308618,-0.10281434673874192,-0.021871732102672403,-0.029010484939499,0.005831989131291779,-0.01669521114456024,-0.024694277147708624,-0.0638432455586567,0.005831989131291779,-0.0074833186298756075,-0.0352136646781521,-0.033150599137799254,0.22780784308519061,0.042581880887972656,-0.014554242774988159,-0.014884435955362795,0.025410500238775276,0.016098916867416088,-0.016855631151839,0.03434938140540829,-0.004654377328973855,0.03300269090624601,-0.017033000582066023,-0.02556518374601039,0.014447724875619317,0.01704778727909031,0.018162203032851022,-0.055888656262087,0.006253811138421414
log_ret_lag5,0.0557946295339995,0.05601588021075712,0.05795300271730509,0.05617279152316647,-0.020459877968573792,0.018053921682347013,0.034552468312352196,-0.0007776403261905682,-0.0017247816818009077,-0.023897187799211,1.0,-0.024005951413363834,-0.0019872758715623927,-0.0011904921917210312,0.034014324262170235,0.01808611957617175,0.0005887942254147267,-0.01959118968614645,-0.07642555807928599,0.2812287013919026,0.2569019380358107,0.24785574029391827,0.2618108563155311,0.0026473824660314107,0.2768754973834966,-0.10884971340735364,-0.08024030591198601,-0.038034367965994895,-0.06250988102088555,-0.02474111302265138,-0.027169146914998915,-0.07078238738011643,-0.06250988102088555,0.022047102839791968,-0.0842558346554797,-0.043625545344479995,0.2202863636305084,0.039788752924329214,-0.018827148042104752,0.019492436006369917,0.04378787868934782,-0.011867228959388323,-0.0067223466411125915,-0.012677238773002104,-0.007155558866040894,0.02679691097043114,-0.03591637676010649,-0.022101995544748215,-0.0865448943474916,0.012208105543143825,0.013733863308121421,-0.05270683906754382,0.04327909649215166
log_ret_lag6,0.055304408278378445,0.05156657350333252,0.058048288769078006,0.05495288976306074,-0.041218072584259996,0.009026872787460045,0.018236958016892135,0.03450935964411337,-0.000728783900012461,-0.0019366926274942543,-0.024005951413363834,1.0,-0.02397163598425132,-0.002113381602017911,-0.0011435132133355039,0.03384591358796963,0.004628340891605898,-0.01811783143505122,-0.07638974207844718,0.25492232867142495,0.23320001733615864,0.2155633742456391,0.22662939903958765,-0.0023385667681019265,0.23989091016590364,-0.10750990078247355,-0.09617748374057677,-0.044528324045832846,-0.053735849364131234,-0.08426319788528448,-0.031887017841020965,-0.08661397580823396,-0.053735849364131234,-0.0008352603303377787,-0.09877043653778445,-0.0512923170787228,0.20765210703883172,0.03209346113089255,-0.015771476674645464,0.035983458907424166,0.001588018041824408,-0.025580557678330472,-0.022345182500150072,-0.031897740063789246,-0.002770516565326083,0.02195713252226843,-0.023883617110410323,-0.015648315573631007,-0.056846849639639735,-0.01024289183810696,-0.008094220013623086,-0.060999805087597975,0.10002394403168739
